date,mkt_rf,smb,hml,wml,rf
1993-11-01,0.176218944309642,-0.0942270542332044,-0.00558586630116287,0.126212336899155,0.00611432097208131
1993-12-01,0.0829219217272565,-0.037740029710679496,0.07553438172478551,-0.0330445039636852,0.00613010054067908
1994-01-01,0.187178209778289,0.053004610859964905,-0.0418631982534136,-0.0509896007056128,0.00856796915905944
1994-02-01,0.04886871111081929,0.0363938630714877,-0.025723612551569,0.0506196109425103,0.00620017402442952
1994-03-01,-0.132123802711507,0.023143998894861004,-0.0189714445976432,-0.00998293312181131,0.00618383117228793
1994-04-01,-0.0269728693957357,0.00040691307334550503,-0.0465306231305399,-0.018947798632424,0.0056198633745847505
1994-05-01,0.026587475609911603,0.0114055089788356,0.05917576743268851,-0.09795518151621771,0.006298084649347671
1994-06-01,0.0727143852425223,-0.0555955088694338,0.114235074397141,-0.009027473717633459,0.00647116834060557
1994-07-01,0.041729979296029306,0.0923846504633545,-0.012750652224047102,-0.101790521942208,0.00679861355034084
1994-08-01,0.0859465217727804,0.044181232255958006,-0.0234169289689259,-0.0209331283510926,0.00716370827482615
1994-09-01,-0.060196537012142996,0.0786089433970429,0.0168129983078806,-0.04207830161244899,0.00663979860065145
1994-10-01,0.00207257821764872,0.0461075664282344,0.094008113631749,0.00490523506630947,0.00728841063527219
1994-12-01,-0.0842459094945908,0.0519754486997095,-0.0600567334763198,-0.05336815889506721,0.00743669948229453
1995-01-01,-0.09266371038999001,0.0376485323911118,-0.0394818195405071,-0.0222252730128912,0.00933246967401113
1995-02-01,-0.0755517105642698,-0.0473054152269144,0.040054759271686,0.0490283498007951,0.00821289357629573
1995-03-01,-0.0568831566970531,0.0150858679355064,0.014708781740743,-0.018894737124238198,0.009458388566793369
1995-04-01,-0.09580866968896821,-0.0846980749501369,-0.0218926173513405,0.00687954286332793,0.00870222311093016
1995-05-01,0.0025947720862005102,-0.0361539813906552,-0.0477782766290351,-0.0239831523443532,0.0102123420979108
1995-06-01,-0.0659211092086806,-0.0606414794734472,0.0034014056501663298,0.0167462210161864,0.00962289813867701
1995-07-01,0.0300312167832677,-0.017558851251283102,0.011920688754361499,-0.0103510952914462,0.0102767380835123
1995-08-01,-0.052816758813555395,0.00492820156154683,-0.0244879179859104,0.0616473024427491,0.0101639120009691
1995-09-01,0.0127065408413392,-0.038769146450625,0.021428488005932098,0.007437533390596049,0.009447944793319561
1995-10-01,-0.052728939915661195,-0.0103186053456834,0.00289768748150987,0.008070798737482619,0.0105628456543301
1995-11-01,-0.14746746607980799,-0.00213079925285442,-0.029016934064961298,-0.028842222144166,0.010058611548443099
1995-12-01,0.036583448338618,-0.0155780535432553,-0.0130549624473799,0.00355719881763972,0.009727755862213751
1996-01-01,-0.0831670278158461,-0.0576566771447432,-0.054421216060961106,0.0574703317836551,0.0110769209392179
1996-02-01,0.141743772239011,-0.0238036570064522,-0.0592935154474079,0.000928737063288665,0.009727755862213529
1996-03-01,-0.0015465908086193,-0.047017687673957705,-0.0776595032672133,0.0708470685465752,0.009727755862213529
1996-04-01,0.10653747570537099,-0.10603408292950199,-0.00534751021970992,0.0688786753525983,0.0106088156784578
1996-05-01,-0.04638892465004,-0.0409999246285637,-0.0357638514090266,0.108766907527552,0.0099621186370018
1996-06-01,0.0275446177007499,-0.0523567175391344,-0.0219262457740225,0.0612612565534072,0.00901075197424195
1996-07-01,-0.114452513515446,-0.045523415847045404,-0.0509309902466447,0.0860062470117578,0.00916309175808561
1996-08-01,-0.0292965149080532,0.008188781077770319,-0.00891936509272195,-0.0435759275268822,0.007287457769946219
1996-09-01,-0.10878222785833501,-0.0419278078102966,-0.019705874386275798,0.0285682001091927,0.00814532258354927
1996-10-01,-0.048755422178368805,-0.0406868624428754,0.0206040194186068,-0.0188230329590825,0.00801622808112157
1996-11-01,-0.0945224974982724,-0.025666331077024197,0.027703238745586202,0.033052189008150504,0.0057013438354935895
1996-12-01,0.0756460338779177,-0.016994297081671,0.11197788523675699,-0.12064463920077201,0.00687641393804306
1997-01-01,0.062405700273669505,-0.0704526257054059,0.0310189131645562,-0.138693307227663,0.0066601032400504
1997-02-01,0.0361089881058503,-0.132823090523223,0.021909954652397298,0.10114780756759799,0.00576624022285688
1997-03-01,-0.0550358053542129,-0.072426525736535,-0.0127397475280603,0.07784886138490381,0.0064806160402122205
1997-04-01,0.09692732444052711,-0.08710712220723141,-0.0570824531750012,0.0761864919008539,0.00527775754797855
1997-05-01,-0.0152250259316062,-0.056409151456683,-0.0888540688171179,0.11709638425510199,0.00515901293969745
1997-06-01,0.12384923705492,-0.09757194694058059,-0.057295577699179,0.0312247644933923,0.00566969740931222
1997-07-01,0.032586497683781704,0.09641765595341241,0.165823191911606,-0.105263189730127,0.00563237609426426
1997-08-01,-0.0926608174189335,0.0158616716738804,-0.00964484791848641,-0.00855979434001441,0.0051052478880060405
1997-09-01,-0.0175872683183396,-0.09554433476109629,-0.0230366968366987,0.148112702958928,0.00573866813006663
1997-10-01,-0.0356650041398605,-0.0329427883367875,-0.0460695526018162,0.040521112084189494,0.0053745552302284505
1997-11-01,-0.0644651505400087,0.00891918237735068,-0.0951426093616798,0.08202080206567629,0.00479884756737992
1997-12-01,-0.000986409832164914,-0.00967985314408804,0.00768969918226037,-0.0546668729663691,0.0061284728128716505
1998-01-01,-0.118141005988135,0.0178551619143918,0.050561735288704,-0.118920218519215,0.00575510520793032
1998-02-01,0.108816316387937,-0.0710494771248126,-0.058465150754402305,0.0638929513517841,0.00543892964262671
1998-03-01,0.0635263344601831,0.0255385495130258,0.0274744926792467,-0.18763480775514602,0.00621833070190947
1998-04-01,0.0655198193270592,0.046098053996525896,0.100742981151179,-0.0992534997237921,0.00582855467903598
1998-05-01,-0.0316200478574951,-0.010091246020939899,0.0979164091440963,0.0368272008884349,0.00560391107750169
1998-06-01,-0.170030312994721,0.011500839958174601,-0.144300947377976,0.0167049697796295,0.00621833070190947
1998-07-01,-0.0064419387551099,0.0434970289848515,-0.111455756557207,0.11984968464934,0.006246768093428609
1998-08-01,-0.0356544042206227,0.065468248642822,0.0653441288951568,-0.041348648618543704,0.0063392557659791605
1998-09-01,0.0442689983054465,-0.0146548875886121,-0.012531701892755001,-0.0896462249629204,0.0068219677194356594
1998-10-01,-0.0797599882498127,0.0315259185635925,0.0123764517051494,0.00745848244192748,0.00772163382264113
1998-11-01,-0.025044987823340602,-0.0100686394929695,0.0227435526500368,-0.0374752224248491,0.007524467269996779
1998-12-01,0.0780769587950356,0.00811265845512787,-0.0934726152534134,-0.006549621244852591,0.00771261824282488
1999-01-01,0.0668728008418527,0.0419825178835076,0.0221260300839652,0.151939774177015,0.007234110093275789
1999-02-01,0.0032102473319297596,-0.00904489573653799,-0.0900002849354566,0.114537480993043,0.00723303883289694
1999-03-01,0.072442221898475,0.142769555234067,-0.053822575822857696,0.10392647436046,0.00750173612060312
1999-04-01,-0.10188632679818299,-0.0649684692545757,0.0133467183459424,-0.031624357523796,0.0067619285365359
1999-05-01,0.12015240475936499,-0.0783977937981173,-0.00897034164858501,-0.107636740849972,0.0068828386493851
1999-06-01,0.0476750621562163,-0.0491510006954147,0.114685856791602,-0.124957216130425,0.00706368151343129
1999-07-01,0.11424424477179,0.0238541352752615,0.0286037792962006,-0.00321893204504675,0.00731433355841871
1999-08-01,0.128258641373587,0.134189045474394,0.0885611170165734,-0.0953879292782237,0.00771240859583133
1999-09-01,0.029789031723481896,-0.0612964016048062,-0.0606272746514279,0.0893360267031089,0.00745064118460803
1999-10-01,-0.0378997737464303,-0.042178818479243894,0.225609830231984,-0.0166636503439876,0.0072013944041562404
1999-11-01,0.0681870627892311,0.024931725326573104,-0.16272347495608902,0.161097838123106,0.00787850694480863
1999-12-01,0.144885477947918,0.125922413926413,-0.0618528221863875,0.304749624753102,0.00701173881125849
