Date,AXISBANK,BAJAJHLDNG,BALKRISIND,BHARTIARTL,CDSL,CIEINDIA,CIPLA,CMSINFO,COALINDIA,DRREDDY,EIDPARRY,GESHIP,HCLTECH,HDFCBANK,ICICIBANK,ICRA,IEX,IGL,INDUSTOWER,INFY,ITC,KOTAKBANK,M&M,MAHSCOOTER,MARUTI,MGL,NESCO,NH,POWERGRID,SWARAJENG,TCS,ZDUSWEL,ZYDUSLIFE
2020-06-01,0.056370880378856514,0.27111836177577553,0.16887555695100365,0.013119628186691434,0.0955080843762901,0.2532052564349856,-0.012188596660603568,,-0.05980180662098045,-0.03102236974389805,0.41379313451905864,0.07987765574007222,0.011994584183411927,0.12000212618933714,0.058743723875820164,-0.01878859405084876,0.09737458134897814,-0.06312214482214451,-0.012724320024694591,0.079548329312491,-0.013681386828997666,0.11147863773903977,0.17039074659109166,0.3605031364725899,0.04054668251375815,0.08173957221371397,-0.010677758431864026,-0.01759511021462934,0.10980644686531904,0.3000314463894669,0.05566954547891756,,0.024666149287894124
2020-07-01,0.061477953533237484,0.04447525275801678,0.048331148034109095,-0.008930783151684718,0.28961917718235086,-0.07502131796872802,0.12479502810025189,,-0.027098239868974416,0.14603492736026902,0.049683809026747294,0.07885565399157901,0.2664092149390922,-0.03100803782443018,-0.0132308533469917,0.009554106139664231,-0.0030595865382320175,-0.08727122665266651,-0.13273136308159017,0.3125893646794984,-0.002568482828700369,0.0038957051621668626,0.18748767030082458,0.19953682757529645,0.07270103506689729,-0.07380471800941757,0.02651338233688061,0.08190300023667896,0.019731058907671795,-0.0677305072938773,0.0989148249340559,,0.09997159353121088
2020-08-01,0.15081671966918586,0.008546382121435991,-0.00011392292126266579,-0.07524558668938264,0.16485265719547604,0.20368665090204496,-0.009164669185746654,,0.03945839430736697,-0.05062423431965524,-0.013253059663662192,0.12370219164418761,-0.012276401858066222,0.0804125525228927,0.13783151476508548,0.11976011240165163,0.07617173873995031,-0.02291292012162538,0.033576222849149184,-0.03871648113001824,0.03695465353717253,0.02606632013742094,0.0050352312561727786,0.013979995141268242,0.09216396882390665,-0.02303856279688432,0.2663999748450898,0.11570966459436227,0.0036456395051844837,0.20780766007334806,-0.008365998854154344,,-0.04415539937251611
2020-09-01,-0.1451434815262006,-0.09886900993767145,0.11979333035123552,-0.17664865030335886,0.1866469196888203,0.032159205886183706,0.0856981840273372,,-0.13658354071562273,0.21645141169165294,-0.01290781777932859,-0.07646945640322478,0.16877883579563369,-0.033382843382121496,-0.1009883352594787,0.00475065132761654,0.07778052361612642,-0.01939409502030842,-0.10635748808000844,0.08577433723318917,-0.1015174820000202,-0.09501558058182447,0.001647688034358774,-0.062338041938651445,-0.00523999437259548,-0.12809886826208206,-0.027795385564421626,0.10664601619653813,-0.09220453554295682,-0.07969204691734211,0.10413119908886093,,0.06410773468372999
2020-10-01,0.15977870361069058,-0.044429077422761476,-0.08764384237446265,0.030407432236004173,0.011029698407690525,0.020771515808559293,-0.02607465587749236,,-0.015517356178491148,-0.05766419706561665,-0.025622676336604755,-0.04342260028672129,0.0402782940417068,0.09730216621408139,0.10669498882907003,0.004702885511860266,-0.07962450761021467,0.04703830440759904,0.05847117388504408,0.05192158886274223,-0.0375656749048483,0.22015473080626236,-0.022865609958860778,-0.023840967612982267,0.03287614851169707,0.009226914497872718,-0.06182121893656456,-0.04483240178996073,0.07674488807014668,-0.030818440946733694,0.06923325400038638,,0.057334569461102936
2020-11-01,0.22152278336000752,0.3281960273002382,0.23141985265326626,0.06801163360268014,0.013556943236413987,0.163880803980319,-0.011795938626718683,,0.09938704247186192,-0.012212103338870794,0.2578889037260852,0.12372063544357048,-0.019071651491017305,0.21739676784694595,0.20568000485429283,-0.07049039570789051,0.13800313187319313,0.2340584341927774,0.17811911869709318,0.04829052267297529,0.1718607407434154,0.23245446437421435,0.21548808602139413,0.37522841432755993,0.010143394172876796,0.30555905271933925,0.07569008786835041,0.13013595088593388,0.12514627710490211,-0.008382706668114026,0.00984078019059309,,0.07756748321725682
2020-12-01,0.03133319002448132,0.004177877402472108,-0.005266070073340123,0.10026986772361424,0.08862555151690388,0.07399306601691591,0.09971845153785064,,0.14586257501655342,0.0778948417354044,-0.009083060741333138,0.04237602107430938,0.15089397654297465,-0.0031578898408524125,0.13034739592373912,0.12179710739154315,0.04685348607885986,0.011986211799748236,0.05169250744169385,0.14163657776613836,0.07926693811401098,0.04640548323551896,-0.0019390232912301908,-0.010509662942782216,0.08723962528908391,-0.002537857136095001,0.010025634637544467,0.1596583919457626,-0.013253655643448714,0.02004632618634239,0.0683299611589896,,0.05920914208072481
2021-01-01,0.06841809173693858,0.055272898995962105,-0.03520024327605775,0.08612884979731183,-0.09454123857336039,-0.05755810387722349,0.007256593110757548,,-0.07050567368734661,-0.11573259646419953,-0.00902092701650381,-0.009688507403000424,-0.0339796079728808,-0.03188728848667821,0.0036445806721285834,-0.0374201157664269,0.08051762017132091,0.026774155333509242,0.006959616001816826,-0.013338215381122676,-0.027512127571479583,-0.14163671032621894,0.040244137069270325,-0.050075766964800095,-0.05790499658680337,-0.02459484130812739,0.05491325214282594,-0.005690090906310008,-0.003036691952307491,-0.08871551389744858,0.08683991422507975,,-0.052962760046020185
2021-02-01,0.09337742564253726,0.1181543848126374,-0.019107821803160285,0.004877456785705281,0.2929354256873189,0.11474390381047717,-0.047039650429095525,,0.20889590962653837,-0.038271023446157404,-0.06680365760339246,0.2052558034178973,-0.0009792270191861796,0.10348766370103157,0.11312862997982132,-0.04433722940356355,0.2036551012652228,-0.04623876581533026,0.11360692330087319,0.011500625481645432,0.0029519397552610904,0.039347421534330795,0.07577392416718443,0.018519681819506584,-0.0472481144922815,0.11911888220008215,0.022617371258617514,-0.03197927301092407,0.16183237098957481,-0.005257113156520665,-0.06799073383713605,,-0.03610189161611521
2021-03-01,-0.03773436684115883,-0.0928735785019783,0.08704518405003592,-0.07010617227869209,0.051193701437258765,-0.10763692494047084,0.035639271384271254,,-0.14356088860724237,0.020207602452345208,0.0017306113255846078,-0.004615461526202735,0.0804883629081865,-0.026557617405683853,-0.02618170439413836,0.21367331686759106,0.13448095227685042,0.041467467149351345,0.022038648917232395,0.0915582592170765,0.0982750558097727,-0.015362126005666554,-0.013826991826572876,-0.0281802390139011,-0.0010121365868714927,0.01706110865096022,-0.11159882759974515,-0.05911676796492171,0.006299598338577406,0.012266923524779427,0.09796859435726302,,0.013097445916616213
2021-04-01,0.025019622992487944,0.038915157972901904,0.048237839398247884,0.03759897197118578,0.22978441802054017,0.058604686003161044,0.11685691698473955,,0.055789531153153105,0.14329048204284822,0.08858175170341975,0.007035463688636723,-0.08517781143745606,-0.05446381253849353,0.031609716583213876,0.024908236350741353,0.11283049481181617,-0.006635964264925187,0.030612292624518922,-0.010014081970182498,-0.07276901548784986,-0.0023959271598285037,-0.05369372648276771,0.007918642812159815,-0.058833364070099425,-0.0372983767554943,-0.05435204965073659,0.0027103537608654804,0.03927794687577024,0.12057485786976274,-0.04474728081308921,,0.29541857790099746
2021-05-01,0.05007690613490712,0.037779210213065406,0.2434815982301426,-0.0034466434045696825,0.22663606168655348,0.17896895309932703,0.042840711532443176,,0.1101087851679785,0.028287323510343798,0.20631948673591838,0.3053351304769083,0.06998073370067592,0.07332005463932845,0.10366367888733663,-0.05934748336464002,-0.03483189918544538,0.03909998331195186,-0.040396024010163734,0.0290911957702511,0.0691017808945209,0.033680228267941814,0.07361631629961107,0.03861442688909156,0.09768965713987643,0.058470764617691184,0.09586021785337273,0.07728227444628688,0.025448829014628416,0.03982314496575601,0.04068308908780893,,0.08255260731981884
2021-06-01,-0.0031970080485277386,0.01796952092681714,0.017401760752520534,-0.01729299761547265,-0.011216051468294519,0.18062112324519175,0.02375303285664221,,-0.007109127180779828,0.021453598762894766,0.020093301258676366,-0.05400794723844449,0.040520262925771044,-0.011841561356103147,-0.04805725504041913,0.033575949455854515,0.0495175212020047,0.05464700783782939,-0.015064021692532292,0.1464456185285974,-0.06417366957321569,-0.056342298533055946,-0.037440355082944965,-0.0001471902081495724,0.060623988106021987,-0.04588006215839702,0.1112230416381561,0.12283298155190603,0.029913519949203105,0.27698187722433265,0.06424716408085418,,0.04350649157912945
2021-07-01,-0.05265264163351335,0.11310776795593247,0.062439011546125744,0.0684867590974716,0.36063556278851094,0.13320697120824088,-0.05334904807867091,,-0.02284330420577474,-0.13126386800763512,0.024739185592772328,-0.1256268719884167,0.042145579293309865,-0.043578548997517674,0.0817878878659104,0.15197649907364896,0.14887374166123335,0.0,-0.06934839258213465,0.018787929279385995,0.04033457220591963,-0.02992639505726602,-0.04449026302209069,0.13052664902990663,-0.0716081739801081,0.027144774597234633,0.005776081596391647,-0.0048756095920095,-0.018072450178930444,-0.07596367950609884,-0.053291396995977736,,-0.0915996894317338
2021-08-01,0.10946537551602398,0.09451205684082398,-0.0332584857791427,0.18231994319886113,-0.10762691063861929,-0.10529242849821085,0.030161374137229746,,0.017794956596102196,0.0030695238461293517,-0.07608698364231636,0.08390623195658042,0.16048028878313314,0.10862637742741321,0.05663794990166138,-0.05299096595059771,0.17134585979549022,-0.021335808802430245,-0.030391725340918163,0.05957783005106232,0.03098323965267058,0.059765389643621436,0.07957072585106917,0.10929673483824831,-0.018860150823673205,-0.01773247150472701,-0.06046438424839495,0.10350104628521262,0.024540023075359185,-0.03884138141219673,0.1980339111713163,,-0.048953425860912336
