market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
21157.0,0.0,14.0,11.0,9.34,0.2126,SAILIFE,62.4
12981.0,0.12,17.8,15.5,8.82,0.119,TEGA,64.3
17850.0,0.8,17.1,11.2,6.09,0.0221,KAJARIACER,41.3
17035.0,1.33,17.2,15.0,2.1,0.057,NAVA,19.0
11543.0,0.0,5.42,14.7,15.9,0.0894,SIGNATURE,3477.0
35213.0,0.42,18.9,15.4,4.78,-0.0424,AIAENG,30.2
6353.0,1.37,17.2,12.5,3.83,0.0837,SAREGAMA,32.9
35863.0,0.26,20.8,24.2,8.82,0.1442,NH,43.4
29950.0,0.88,32.6,24.5,9.87,0.0964,CRISIL,43.7
23784.0,2.21,20.4,30.9,6.28,0.2632,NUVAMA,23.2
26082.0,1.44,42.5,35.9,14.14,0.1465,MSUMI,41.9
10748.0,2.2,11.8,12.5,2.77,0.1245,PCBL,41.3
12421.0,2.69,21.0,16.3,2.83,0.1361,UTIAMC,19.7
14628.0,0.87,41.4,30.6,11.25,0.178,TRITURBINE,41.5
20853.0,0.0,11.4,16.9,3.01,,AADHARHFC,20.0
26752.0,0.53,17.4,13.2,1.34,0.0359,ACC,10.6
25269.0,0.37,18.4,13.7,6.03,0.1021,HONAUT,49.3
25107.0,1.56,56.1,41.6,21.58,0.0747,GILLETTE,40.5
9562.0,0.74,10.2,11.0,2.44,0.0977,BALRAMCHIN,21.3
19590.0,0.0,9.55,7.86,2.73,,CREDITACC,40.4
10829.0,0.32,27.6,21.8,5.29,0.2326,CEMPRO,23.1
24151.0,0.0,40.9,74.0,36.73,0.1757,SCHNEIDER,92.3
18514.0,2.36,32.4,30.2,6.32,0.0387,EMAMILTD,23.0
54782.0,1.84,46.2,35.7,13.65,0.0846,ABBOTINDIA,35.9
6115.0,0.0,15.2,11.6,3.77,0.2304,LATENTVIEW,30.8
12965.0,0.94,17.7,13.4,2.27,0.1,FINCABLES,19.0
17725.0,0.07,11.7,9.41,5.85,0.3361,CRAFTSMAN,50.4
27234.0,0.13,20.1,15.1,7.98,0.049,ZFCVINDIA,54.1
17747.0,4.88,60.3,45.9,9.32,0.0622,CASTROLIND,18.5
16279.0,0.07,8.42,7.57,3.41,0.1485,ACMESOLAR,32.4
14398.0,0.46,13.1,17.0,6.91,0.2525,CCL,38.4
27623.0,0.0,12.0,9.37,3.69,0.1258,STARHEALTH,61.9
20208.0,0.76,16.0,9.96,2.9,0.1734,KPIL,23.8
10147.0,0.03,-1.44,-4.47,1.37,0.447,SWANCORP,
19524.0,0.48,23.4,18.0,4.15,0.1246,EIHOTEL,25.7
7698.0,0.83,27.3,20.2,5.13,0.0123,CLEAN,31.4
19543.0,0.27,15.3,13.4,2.79,0.1045,SARDAEN,18.6
12979.0,0.81,16.5,12.8,3.33,0.5443,TECHNOE,27.7
13618.0,2.07,15.2,9.89,1.14,-0.0348,GSPL,12.9
14251.0,0.73,19.2,16.7,3.39,0.1397,LTFOODS,21.9
38450.0,0.69,13.9,10.8,8.87,0.0748,UBL,91.5
8888.0,0.0,7.7,5.87,4.62,-0.9053,MMTC,78.4
14347.0,0.0,12.0,13.1,2.34,0.1951,THELEELA,40.5
13900.0,0.23,6.44,2.68,3.02,0.1031,SOBHA,97.6
21051.0,0.0,7.01,8.73,4.44,0.2599,AEGISVOPAK,103.0
51916.0,0.32,9.79,14.7,,,HDBFS,23.9
13551.0,3.36,41.6,32.3,6.01,-0.0037,AKZOINDIA,35.9
9316.0,0.0,2.72,-4.18,1.31,0.1963,PVRINOX,166.0
15582.0,0.25,6.16,6.02,2.74,0.1454,ZYDUSWELL,64.8
29356.0,2.39,30.0,24.9,4.66,0.1344,HEXT,20.2
15796.0,0.43,19.8,15.2,6.75,0.1704,RRKABEL,33.8
12663.0,2.33,21.3,16.4,2.96,0.049,ZENSARTECH,16.7
23414.0,0.54,12.0,8.99,2.12,0.1129,SHYAMMETL,24.1
23570.0,2.51,20.4,15.7,1.91,0.0522,SUNTV,14.5
32232.0,1.68,5.48,11.4,0.82,,CENTRALBK,6.68
34223.0,0.41,17.3,14.6,5.47,0.1524,ENDURANCE,37.0
22660.0,0.0,57.3,42.6,24.71,,TENNIND,40.1
20880.0,3.81,11.2,11.3,1.65,0.0881,CESC,14.2
9956.0,3.64,21.8,14.7,3.78,-0.0488,RITES,24.1
11949.0,0.77,19.6,11.1,2.21,-0.0021,AFCONS,23.4
12692.0,0.24,18.7,17.4,8.39,0.1117,RAINBOW,49.3
17659.0,0.11,11.2,11.8,2.65,,CGCL,20.9
17373.0,0.0,4.64,-4.81,2.86,0.0288,JSWCEMENT,54.0
12913.0,1.97,9.48,8.23,2.79,0.0307,TRIDENT,31.6
32916.0,1.49,5.76,8.5,1.07,,UCOBANK,13.3
12986.0,0.35,25.8,22.7,4.11,0.125,CAPLIPOINT,21.2
18298.0,2.19,26.8,19.8,1.86,-0.0969,CHAMBLFERT,9.56
22316.0,0.0,19.5,20.9,14.03,0.1823,CPPLUS,87.9
35057.0,1.0,32.4,24.9,8.13,0.116,AJANTPHARM,34.6
10378.0,1.14,35.5,21.9,1.66,0.0499,BBTC,9.58
18990.0,0.39,12.8,9.1,3.21,0.0371,ATUL,32.0
14190.0,0.56,9.54,9.55,2.15,0.0802,JUBLPHARMA,30.8
30045.0,0.0,7.83,9.64,2.89,0.0668,GODREJIND,29.9
15582.0,2.5,15.4,15.0,3.56,0.149,FSL,22.2
37464.0,0.05,30.3,33.9,2.3,,AIIL,10.3
10323.0,0.77,11.2,8.88,3.39,-0.0371,JUBLINGREA,37.6
14822.0,0.24,20.1,15.8,5.08,0.1692,POLYMED,42.0
28657.0,0.05,19.7,16.5,7.72,0.1556,MEDANTA,50.6
66820.0,0.0,5.97,11.4,1.88,,IOB,13.5
9491.0,0.59,16.8,12.7,3.21,0.0935,INTELLECT,25.2
40556.0,1.75,63.2,46.9,23.7,0.0534,GLAXO,40.3
26241.0,1.03,,,,,TIMKEN,59.8
5144.0,0.37,24.1,17.6,6.18,0.1896,MAPMYINDIA,39.0
15199.0,0.0,16.6,9.54,1.76,0.0207,EIDPARRY,14.4
9884.0,0.37,6.84,14.4,3.22,0.0752,RKFORGE,44.2
13435.0,0.68,18.8,15.8,4.53,0.0335,USHAMART,30.0
36944.0,0.27,14.7,12.8,4.97,0.1528,IPCALAB,35.0
10531.0,0.6,12.6,9.26,2.59,0.0563,WHIRLPOOL,30.2
35472.0,0.51,40.5,30.5,16.51,0.0786,3MINDIA,58.0
6906.0,1.79,29.1,27.3,3.89,0.1312,SONATSOFTW,15.0
76185.0,0.66,17.4,25.2,12.19,0.1194,BHARTIHEXA,43.2
14696.0,0.74,53.6,43.0,10.43,0.3578,IGIL,27.6
9196.0,2.66,15.1,15.6,6.01,0.0023,BATAINDIA,47.9
28699.0,1.03,11.9,7.81,3.0,0.1903,GLAND,33.2
12270.0,0.48,16.3,16.2,7.52,0.0522,BLUEDART,42.2
21596.0,2.6,20.1,15.8,56.86,,BAYERCROP,439.0
11134.0,0.0,3.93,0.24,1.21,0.0151,NUVOCO,29.0
12817.0,0.0,26.7,24.6,9.22,0.2943,TBOTEK,54.8
11222.0,1.42,9.34,18.2,2.06,,CANFINHOME,11.5
11804.0,1.38,14.4,13.7,2.45,0.0589,WELSPUNLIV,50.6
19000.0,0.54,12.2,12.9,6.04,0.2224,ERIS,42.8
14018.0,1.34,29.7,27.9,6.31,0.0261,SPLPETRO,232.0
17218.0,0.0,40.6,37.6,14.53,0.1335,TRAVELFOOD,40.7
36762.0,0.09,9.89,8.29,4.83,-0.0514,FLUOROCHEM,55.1
14617.0,0.13,26.2,22.3,13.31,0.2256,DOMS,65.9
11959.0,0.0,-5.49,-8.83,1.19,-0.074,INDIACEM,
13610.0,0.0,7.45,8.18,3.58,0.2972,NIVABUPA,
22273.0,0.72,27.2,19.8,16.12,,PFIZER,145.0
29565.0,0.0,10.8,11.9,6.39,0.1889,GODIGIT,57.9
16867.0,0.13,11.1,5.77,4.94,0.3433,CHALET,27.8
20894.0,0.29,24.7,18.5,6.54,-0.027,SUMICHEM,38.5
22175.0,0.23,12.4,13.6,6.0,0.0622,ASAHIINDIA,70.7
12347.0,0.0,,9.78,9.44,,ABLBL,69.9
13756.0,0.0,8.73,7.95,8.79,0.0803,CANHLIFE,120.0
10102.0,0.2,20.9,19.0,11.66,0.1872,VIJAYA,63.0
7997.0,0.65,7.06,5.19,1.98,0.1369,RHIM,46.7
11810.0,0.41,24.8,20.6,4.12,0.1227,INDGN,26.9
17406.0,0.81,11.4,8.66,2.41,0.0462,DCMSHRIRAM,24.9
16062.0,0.16,18.2,15.5,10.72,0.1362,BIKAJI,64.4
