market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
110100.0,1.37,21.1,15.6,7.85,0.0909,BOSCHLTD,47.6
18305.0,0.24,21.0,15.2,11.89,0.2916,DATAPATTNS,73.4
128933.0,0.46,13.7,12.2,3.47,0.1541,MOTHERSON,36.6
61655.0,0.0,32.5,41.4,7.84,0.3603,SUZLON,19.1
143481.0,0.84,13.2,19.6,4.03,,MUTHOOTFIN,16.5
167331.0,0.44,,,,,ICICIAMC,56.9
106696.0,0.51,21.3,20.6,5.43,0.1626,LUPIN,21.4
141117.0,3.12,18.6,14.6,5.12,0.0113,TECHM,29.3
127125.0,2.85,6.79,17.8,1.09,,CANBK,6.3
154508.0,0.21,1.47,1.23,1.15,3.0494,JIOFIN,97.6
142828.0,3.02,6.29,15.5,0.87,,BANKBARODA,7.34
71939.0,0.0,-10.1,-10.3,4.68,0.0039,PAYTM,133.0
32781.0,1.51,26.3,19.9,5.62,0.2014,GODFRYPHLP,25.2
18057.0,0.0,3.65,-8.66,0.58,,SAMMAANCAP,14.1
130365.0,0.35,6.58,10.8,7.4,0.139,HDFCLIFE,69.0
85999.0,0.47,12.2,11.6,9.18,0.0772,BHARATFORG,73.6
34466.0,0.58,17.8,14.4,6.03,0.1488,SONACOMS,52.8
99317.0,1.06,22.7,17.8,3.01,0.0761,CIPLA,20.9
51257.0,0.28,23.7,18.6,17.21,0.1652,HINDCOPPER,77.5
71883.0,0.41,7.03,12.9,1.99,,FEDERALBNK,17.6
74663.0,0.0,-8.71,-264.0,,,MEESHO,
95077.0,0.0,5.57,4.32,14.97,0.6419,LENSKART,251.0
68575.0,0.96,6.76,4.54,1.18,0.0153,SAIL,22.6
145971.0,0.35,19.7,16.2,7.46,0.1808,VBL,49.8
144298.0,2.51,6.72,17.0,1.1,,UNIONBANK,7.62
69857.0,0.0,5.9,5.13,10.34,0.3462,POLICYBZR,121.0
127606.0,0.56,10.8,11.0,3.38,0.0545,TATAPOWER,33.7
29709.0,0.29,59.2,47.3,29.82,0.2715,ANANDRATHI,75.1
112211.0,1.72,43.3,32.4,14.47,0.1703,HDFCAMC,39.0
44398.0,2.45,22.7,18.2,4.61,0.0361,MPHASIS,24.3
22199.0,1.15,13.2,15.5,3.74,-0.048,AEGISLOG,28.8
102846.0,0.65,22.7,18.0,2.85,0.1202,DRREDDY,18.5
32533.0,0.0,4.77,-1.28,3.28,,POONAWALLA,93.1
76729.0,2.91,10.5,13.8,1.35,-0.0032,HINDPETRO,4.98
13889.0,0.05,19.4,14.9,4.77,0.364,PGEL,50.2
92110.0,5.15,9.96,21.5,1.1,,RECLTD,5.34
238562.0,5.14,61.0,72.9,17.44,0.0219,HINDZINC,20.2
75909.0,0.0,-29.2,-255.0,7.75,0.3663,SWIGGY,
138121.0,0.74,29.8,23.0,14.45,0.0627,PIDILITIND,59.7
101309.0,4.87,14.0,13.1,1.15,-0.0074,GAIL,11.8
7882.0,0.56,15.5,12.8,2.37,0.4278,TEJASNET,
28169.0,0.0,-0.77,-14.7,18.72,0.231,ITI,
57338.0,0.63,14.7,14.0,6.0,-0.0023,RVNL,50.0
120671.0,0.0,15.8,11.8,9.13,-0.0393,SIEMENS,73.8
131025.0,2.09,5.83,12.8,2.31,,IRFC,18.7
297074.0,0.23,8.11,4.94,3.58,0.0257,JSWSTEEL,38.0
115512.0,0.0,29.0,32.5,3.2,0.0421,INDUSTOWER,16.2
20745.0,0.0,2.37,15.5,8.54,0.3772,URBANCO,
162374.0,0.49,20.4,15.4,10.53,0.0991,DIVISLAB,64.1
504956.0,1.5,53.1,45.7,3.56,0.0641,LICI,9.52
92243.0,0.95,26.5,19.7,10.93,0.0678,UNITDSPR,52.4
74792.0,3.88,29.6,23.6,2.31,0.1622,NMDC,10.8
124369.0,0.16,10.7,7.68,2.51,-0.0193,JINDALSTEL,43.7
201877.0,4.9,7.36,6.51,1.02,-0.0287,IOC,5.65
128491.0,2.59,6.32,15.2,0.86,,PNB,7.22
130352.0,1.68,6.38,17.1,1.63,,INDIANB,10.8
286901.0,0.0,18.0,13.4,12.5,0.155,DMART,100.0
59295.0,0.11,9.15,7.45,12.34,0.0362,LAURUSLABS,70.3
60956.0,1.88,40.7,31.4,13.88,0.1883,NAM-INDIA,42.2
45559.0,0.45,32.7,19.5,9.39,0.1448,APARINDS,45.9
46386.0,0.33,15.0,16.0,8.68,0.3102,KALYANKJIL,40.1
73318.0,0.36,12.3,10.4,5.53,0.0136,SRF,39.6
133532.0,1.44,27.6,21.5,5.71,0.0712,LTM,25.8
133863.0,1.35,53.0,52.9,35.86,0.0499,BRITANNIA,55.4
7870.0,2.97,9.21,6.71,0.68,0.007,ZEEL,13.8
